num,symbol,number,row,group,atomic_mass,molar_volume,atomic_radius,ionic_radius,covalent_radius,van_der_waals_radius,electron_negativity,electron_affinity,electrical_resistivity,thermal_cond,boiling_point,melting_point,Tc,enthalpy_of_fusion,first_ionization_energy,second_ionization_energy,s,p,d,f,Omax,Omin,valance,block,electron_shell,metal,noble_gas,alkali_metal,rare_earth_metal,Over_metal,Lanthanide_metals,actinoid,Halogen,alkaline,poissons_ratio,bulk_modulus,youngs_modul,rigidity_modul,thermal_expansion
20,Sc,21,4,3,44.955912,15,2.15,0.885,1.59,258,1.36,18.1,5.50E-07,16,3103,1814,0,16,633,1235,2,0,1,0,3,1,3,d,2.8.9.2,1,0,0,0,1,0,0,0,0,0.28,57,74,29,1.02E-05
21,Ti,22,4,4,47.867,10.64,2.11,0.851666667,1.48,246,1.54,7.6,4.00E-07,22,3560,1941,0,18.7,658.8,1309,2,0,2,0,4,-1,4,d,2.8.10.2,1,0,0,0,1,0,0,0,0,0.32,110,116,44,8.60E-06
22,V,23,4,5,50.9415,8.32,2.07,0.7775,1.44,242,1.63,50.6,2.00E-07,31,3680,2183,0,22.8,650.9,1414,2,0,3,0,5,-1,5,d,2.8.11.2,1,0,0,0,1,0,0,0,0,0.37,160,128,47,8.40E-06
23,Cr,24,4,6,51.9961,7.23,2.06,0.94,1.3,245,1.66,64.3,1.27E-07,94,2944,2180,0,20.5,652.9,1590.6,1,0,5,0,6,-2,6,d,2.8.13.1,1,0,0,0,1,0,0,0,0,0.21,160,279,115,4.90E-06
24,Mn,25,4,7,54.938045,7.35,2.05,0.648333333,1.29,245,1.55,0,1.44E-06,7.8,2334,1519,0,13.2,717.3,1509,2,0,5,0,7,-3,4,d,2.8.12.2,1,0,0,0,1,0,0,0,0,,120,198,,2.17E-05
25,Fe,26,4,8,55.845,7.09,2.04,0.8525,1.24,244,1.83,14.569,1.00E-07,80,3134,1811,0,13.8,762.5,1561.9,2,0,6,0,6,-2,3,d,2.8.14.2,1,0,0,0,1,0,0,0,0,0.29,170,211,82,1.18E-05
26,Co,27,4,9,58.933195,6.67,2,0.768333333,1.18,240,1.88,63.873,6.00E-08,100,3200,1768,0,16.2,760.4,1648,2,0,7,0,5,-1,4,d,2.8.15.2,1,0,0,0,1,0,0,0,0,0.31,180,209,75,1.30E-05
27,Ni,28,4,10,58.6934,6.59,1.97,0.74,1.17,240,1.92,111.537,7.20E-08,91,3186,1728,0,17.2,737.1,1753,2,0,8,0,4,-1,2,d,2.8.16.2,1,0,0,0,1,0,0,0,0,0.31,180,200,76,1.34E-05
28,Cu,29,4,11,63.546,7.11,1.96,0.82,1.22,238,1.9,119.159,1.72E-08,400,3200,1357.77,0,13.1,745.5,1957.9,1,0,10,0,4,1,2,d,2.8.18.1,1,0,0,0,1,0,0,0,0,0.34,140,130,48,1.65E-05
29,Zn,30,4,12,65.409,9.16,2.01,0.88,1.2,239,1.65,0,6.00E-08,120,1180,692.68,0,7.35,906.4,1733.3,2,0,10,0,2,1,2,d,2.8.18.2,1,0,0,0,1,0,0,0,0,0.25,70,108,43,3.02E-05
30,Ga,31,4,13,69.723,11.8,1.87,0.76,1.23,232,1.81,41.49,1.40E-07,29,2477,302.91,0,5.59,578.8,1979.3,2,1,10,0,3,1,3,p,2.8.18.3,1,0,0,0,0,0,0,0,0,,,,,0.00012
31,Ge,32,4,14,72.64,13.63,2.11,0.77,1.2,229,2.01,118.939,0.0005,60,3093,1211.4,0,31.8,762,1537.5,2,2,10,0,4,-4,4,p,2.8.18.4,1,0,0,0,0,0,0,0,0,,,,,6.00E-06
32,As,33,4,15,74.9216,12.95,1.85,0.66,1.2,188,2.18,77.57,3.30E-07,50,887,1090,1700,27.7,947,1798,2,3,10,0,5,-3,5,p,2.8.18.5,0,0,0,0,0,0,0,0,0,,22,8,,
33,Se,34,4,16,78.96,16.42,1.9,1.013333333,1.18,182,2.55,194.965,1.00E-08,0.52,958,494,1766,5.4,941,2045,2,4,10,0,6,-2,6,p,2.8.18.6,0,0,0,0,0,0,0,0,0,0.33,8.3,10,3.7,
